央视频道,#genre#
CCTV12,http://504099760.qicp.vip:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://113.57.109.36:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://cfss.cc/ds/bst.php?id=Cf-13
CCTV12,http://221.7.175.154:8445/tsfile/live/1010_1.m3u8?key=txiptv
CCTV13,http://219.156.52.203:4000/rtp/225.1.4.113:1293
CCTV13,http://119.126.159.38:4000/rtp/239.253.43.196:5146
CCTV13,http://504099760.qicp.vip:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://218.17.181.26:1099/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://220.191.34.179:8888/rtp/233.50.201.124:5140
CCTV14,http://219.156.52.203:4000/rtp/225.1.4.80:1109
CCTV14,http://119.126.159.38:4000/rtp/239.77.1.171:5146
CCTV14,http://504099760.qicp.vip:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://113.57.109.36:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,https://tv.smart-chat.net/migu.php?id=cctv14
CCTV15,http://219.156.52.203:4000/rtp/225.1.4.216:1269
CCTV15,http://119.126.159.38:4000/rtp/239.77.1.239:5146
CCTV15,http://504099760.qicp.vip:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://119.126.159.38:4000/rtp/239.77.1.98:5146
CCTV17,http://219.156.52.203:4000/rtp/225.1.4.226:2506
CCTV17,http://119.126.159.38:4000/rtp/239.77.0.198:5146
CCTV17,http://221.7.175.154:8445/tsfile/live/1009_1.m3u8?key=txiptv
CCTV17,https://tv.smart-chat.net/migu.php?id=cctv17
卫视频道,#genre#
湖南卫视,http://175.0.24.23:8888/rtp/239.1.0.104:1025
湖南卫视,http://219.156.52.203:4000/rtp/225.1.4.82:1111
湖南卫视,http://117.82.67.26:8880/rtp/239.49.8.142:6000
湖南卫视,http://117.82.67.26:8880/rtp/239.49.8.12:9418
湖南卫视,http://119.126.159.38:4000/rtp/239.77.0.88:5146
湖南卫视,http://119.126.159.38:4000/rtp/239.77.1.5:5146
湖南卫视,http://183.166.125.67:8888/rtp/238.1.78.160:7152
湖南卫视,http://123.117.162.215:58888/rtp/239.3.1.132:8012
湖南卫视,http://218.76.54.101:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://504099760.qicp.vip:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://113.57.109.36:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://221.7.175.154:8445/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://58.19.13.92:9901/tsfile/live/1016_1.m3u8?key=txiptv
湖南卫视,http://61.169.37.218:9901/tsfile/live/24321_1.m3u8?key=txiptv
湖南卫视,https://tv.smart-chat.net/migu.php?id=hunws
浙江卫视,http://117.82.67.26:8880/rtp/239.49.8.139:6000
浙江卫视,http://117.82.67.26:8880/rtp/239.49.8.20:9618
浙江卫视,http://119.126.159.38:4000/rtp/239.77.0.89:5146
浙江卫视,http://119.126.159.38:4000/rtp/239.77.1.33:5146
浙江卫视,http://183.166.125.67:8888/rtp/238.1.78.164:7184
浙江卫视,http://218.76.54.101:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://504099760.qicp.vip:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://113.57.109.36:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://221.7.175.154:8445/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://58.19.13.92:9901/tsfile/live/1020_1.m3u8?key=txiptv
浙江卫视,http://61.169.37.218:9901/tsfile/live/24319_1.m3u8?key=txiptv
江苏卫视,http://219.156.52.203:4000/rtp/225.1.4.83:1112
江苏卫视,http://119.126.159.38:4000/rtp/239.77.0.90:5146
江苏卫视,http://119.126.159.38:4000/rtp/239.77.1.18:5146
江苏卫视,http://218.76.54.101:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://504099760.qicp.vip:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://113.57.109.36:9901/tsfile/live/0127_1.m3u8?key=txiptv
